"Поисковая система","Поисковая система (детально)","Поисковая фраза","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте","Достижения избранных целей","Доход по избранным целям, RUB","Конверсия посетителей по избранным целям"
"Яндекс","Яндекс, результаты поиска","ремонт макбук про","4","1","0.0","6.75","00:30:10","0","0.0","0.0"
"Яндекс","Мобильный Яндекс","iphone xs max не включается","4","4","0.0","1.5","00:00:26","0","0.0","0.0"
"Яндекс","Мобильный Яндекс","ремонт телефонов айфон рядом","4","4","0.25","2.25","00:00:00","0","0.0","0.0"
"Яндекс","Мобильный Яндекс","цена ремонта экрана iphone","4","4","0.5","1.75","00:00:00","0","0.0","0.0"
"Яндекс","Яндекс.Карты","{""text"":""ремонт телефонов"",""what"":[{""attr_name"":""category_id"",""attr_values"":[""184107787""]}]}","4","4","0.25","2.5","00:00:36","1","0.0","0.25"
"Google","Google: мобильное приложение","Не определено","4","4","0.5","1.25","00:00:15","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","I repair","3","3","0.0","8.0","00:11:52","5","0.0","0.33333333333333326"
"Яндекс","Яндекс, результаты поиска","IRepair Большая Садовая ул., 5 Отзывы","3","3","0.33333333333333326","3.0","00:01:30","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","IRepair Большая Садовая ул., 5 Цены","3","2","0.33333333333333326","1.3333333333333333","00:00:26","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","iRepair Москва","3","1","0.6666666666666665","1.3333333333333333","00:00:19","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","Замена матрицы на macbook air m1","3","1","0.6666666666666665","1.3333333333333333","00:00:13","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","Репейр пекин айфон","3","1","0.6666666666666665","1.0","00:00:05","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","ай репейр","3","2","0.0","1.6666666666666667","00:00:25","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","айрипейр","3","3","0.0","4.333333333333333","00:13:53","2","0.0","0.33333333333333326"
"Яндекс","Яндекс, результаты поиска","арипиар ремонт айфонов в москве","3","1","0.0","2.0","00:00:27","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","гостнийп пекин ремонт iphone","3","1","0.0","1.0","00:01:40","2","0.0","1.0"
"Яндекс","Яндекс, результаты поиска","замена аккумулятора айфон","3","2","0.0","1.0","00:04:25","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","замена дисплея на макбуке","3","2","0.0","2.0","00:02:50","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","замена материнской платы iphone 14 pro","3","1","0.0","5.666666666666667","00:08:37","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","замена матрицы макбук","3","3","0.33333333333333326","3.0","00:04:43","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","замена стекла iphone 12","3","3","0.0","1.6666666666666667","00:01:32","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","ремонт apple маяковская","3","3","0.0","2.3333333333333335","00:00:27","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","ремонт айфон москва","3","3","0.0","4.0","00:01:11","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","ремонт айфонов на маяковской","3","2","0.0","6.0","00:01:06","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","сколько стоит поменять линзу на камере айфона","3","3","0.6666666666666665","1.0","00:00:05","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","удаление царапин с корпуск айфон 17 про макс в москве","3","1","0.33333333333333326","2.0","00:02:16","2","0.0","1.0"
"Яндекс","Яндекс, результаты поиска","чистка айфона от пыли и грязи","3","2","0.6666666666666665","1.0","00:00:09","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","чистка разъема зарядки iphone цена","3","3","0.33333333333333326","2.0","00:00:26","0","0.0","0.0"
